company,category,query,verdict,note
현대자동차(자동차),검색추출_Closed,2025년 매출액 [재검증],PASS(정직한실패),"파싱버그 수정 후 재실행: III.재무에 관한 사항 섹션이 복원되어 근거 5건 인용됨(수정 전엔 근거 자체를 못 찾음). 다만 문서에 2025년 매출액 단일수치가 없어(2024년 실적만 확인 가능) '확인할 수 없음'으로 정직하게 답함 — grounded/citation 정상, 할루시네이션 없음"
삼성전자(IT/반도체),검색추출_Closed,2025년 매출액,PASS,"원문대조: periodic_20260310002820 감사보고서 'Ⅰ.매출액' 행 333,605,938(백만원)과 정확히 일치"
삼성SDI(2차전지),검색추출_Closed,2025년 영업이익,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
LG에너지솔루션(2차전지),검색추출_Closed,최근 자기주식 취득 결정 규모,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
한미반도체(반도체),검색추출_Closed,2025년 부채비율,PASS,"원문대조: periodic_20260312001230 TOT_DEBTS=123,004 / TOT_ASSETS=813,332 → 자본=690,328, 부채비율=123004/690328*100=17.82% ≈ 답변 17.8% 정확"
KB금융(금융),검색추출_Closed,최근 단일판매·공급계약 금액,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
알테오젠(바이오),검색추출_Closed,2025년 매출액,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
HD현대중공업(조선),검색추출_Closed,2025년 영업이익,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
현대자동차(자동차),검색추출_Closed,최근 자기주식 취득 결정 규모,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
현대건설(건설),검색추출_Closed,2025년 부채비율,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
SK텔레콤(통신),검색추출_Closed,최근 단일판매·공급계약 금액,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
기아(자동차),검색추출_Closed,2025년 매출액,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
SK하이닉스(반도체),검색추출_Closed,2025년 영업이익,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
NAVER(IT/플랫폼),검색추출_Closed,최근 자기주식 취득 결정 규모,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
카카오(IT/플랫폼),검색추출_Closed,2025년 부채비율,PASS,"자동신호 통과(grounded/citation 모두 True, route=calculation) — 답변 내용 스팟체크, 원문 미대조"
신한지주(금융),검색추출_Closed,최근 단일판매·공급계약 금액,PASS(정직한실패),원문대조: 신한지주 exchange 공시 1건뿐이고 단일판매·공급계약 유형 아님 — 금융지주는 이 공시유형 자체가 드묾(제조업 특화 공시유형). '정보 없음' 답변이 실제로 타당함
삼성바이오로직스(바이오),검색추출_Closed,2025년 매출액,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
셀트리온(바이오),검색추출_Closed,2025년 영업이익,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
하이브(엔터),검색추출_Closed,최근 자기주식 취득 결정 규모,PASS,"원문대조: major_20260212001232 ACQ_OSTK(보통주식 취득) 546,120주와 정확히 일치"
와이지엔터테인먼트(엔터),검색추출_Closed,2025년 부채비율,PASS,"자동신호 통과(grounded/citation 모두 True, route=calculation) — 답변 내용 스팟체크, 원문 미대조"
크래프톤(게임),검색추출_Closed,최근 단일판매·공급계약 금액,PASS(정직한실패),"원문대조: 크래프톤 exchange 공시 중 단일판매·공급계약 매칭 0건 — 게임사 특성상 이런 계약형 공시가 드묾, '정보 없음' 답변이 실제로 타당함"
두산로보틱스(로봇),검색추출_Open,주요 사업부문 구성,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
레인보우로보틱스(로봇),검색추출_Open,최근 투자 계획,FAIL(10배 단위오류),"원문 대조: exchange_20250205900405 실제 투자금액 28,178,420,000원(281.78억원)인데 답변은 '281,784백만원'(2,817.84억원)이라 써서 정확히 10배 부풀림 — 알테오젠 10배오류와 동일 계열(백만원/억원 단위 변환 실수). 정정본도 28,533,520,000원인데 '285,332백만원'으로 동일하게 10배 오류. validator가 두 숫자 모두 정확히 ungrounded로 잡아냄 — 오탐 아니라 validator가 실제 답변 오류를 정확히 포착한 사례."
한화에어로스페이스(방산),검색추출_Open,주요 매출처,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
한국항공우주(방산),검색추출_Open,주요 사업부문 구성,PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
이마트(유통),검색추출_Open,최근 투자 계획,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
LG생활건강(화장품),검색추출_Open,주요 매출처,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
아모레퍼시픽(화장품),검색추출_Open,주요 사업부문 구성,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
POSCO홀딩스(철강),검색추출_Open,최근 투자 계획,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
고려아연(비철금속),검색추출_Open,주요 매출처,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
HMM(해운),검색추출_Open,주요 사업부문 구성,PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
현대글로비스(물류),검색추출_Open,최근 투자 계획,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
대우건설(건설),검색추출_Open,주요 매출처,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
케이티(통신),검색추출_Open,주요 사업부문 구성,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
LG유플러스(통신),검색추출_Open,최근 투자 계획,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
미래에셋증권(증권),검색추출_Open,주요 매출처,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
기아+현대자동차(자동차+자동차),비교연산_Closed,2025년 매출액 비교,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
SK하이닉스+삼성전자(반도체+IT/반도체),비교연산_Closed,2025년 설비투자 규모 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
NAVER+카카오(IT/플랫폼+IT/플랫폼),비교연산_Closed,2025년 영업이익 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
신한지주+KB금융(금융+금융),비교연산_Closed,2025년 영업수익 비교,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
삼성SDI+LG에너지솔루션(2차전지+2차전지),비교연산_Closed,2025년 매출액 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
삼성바이오로직스+셀트리온(바이오+바이오),비교연산_Closed,2025년 매출액 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
하이브+와이지엔터테인먼트(엔터+엔터),비교연산_Closed,2025년 영업이익 비교,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
두산로보틱스+레인보우로보틱스(로봇+로봇),비교연산_Closed,2025년 매출액 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
한화에어로스페이스+한국항공우주(방산+방산),비교연산_Closed,2025년 매출액 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
LG생활건강+아모레퍼시픽(화장품+화장품),비교연산_Closed,2025년 영업이익 비교,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
POSCO홀딩스+고려아연(철강+비철금속),비교연산_Closed,2025년 매출액 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
HMM+현대글로비스(해운+물류),비교연산_Closed,2025년 매출액 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
현대건설+대우건설(건설+건설),비교연산_Closed,2025년 매출액 비교,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
SK텔레콤+케이티(통신+통신),비교연산_Closed,2025년 영업이익 비교,PASS,"자동신호 통과(grounded/citation 모두 True, route=multi_compare) — 답변 내용 스팟체크, 원문 미대조"
현대모비스+삼성전기(자동차부품+전자부품),비교연산_Closed,2025년 매출액 비교,FAIL(검색누락),"원문 대조로 데이터가 실제 존재함을 직접 확인했는데(TOT_SALES/영업이익/TOT_DEBTS raw 필드 또는 본문 서술에 명시) 시스템은 '확인할 수 없음/정보가 없음'으로 답함 — 정직한 실패가 아니라 실제 검색 실패. grounded=True/citation=True라 자동 지표로는 절대 안 걸림(원문대조로만 발견). search_disclosures가 period 필터를 단계적으로 완화하는 로직이 이미 있어 필터 자체 문제는 아닌 것으로 보이고, top_k=5 내 관련 청크 랭킹 실패(retrieval relevance 부족)로 추정 — 근본 원인 미확정, 후속 조사 필요(§12)."
에코프로비엠(2차전지소재),비교연산_Open,당기 대비 전기 영업이익 변화,FAIL(API에러),"ReadTimeout(HCX clovastudio, 60초 read timeout), 총 79.9분(4794.7s) hang 후 실패 — API측 정체로 추정, 파이프라인 로직 버그 아님"
현대모비스(자동차부품),비교연산_Open,최근 자금조달 내역(유형별),PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
삼성전기(전자부품),비교연산_Open,당기 대비 전기 영업이익 변화,PASS,"자동신호 통과(grounded/citation 모두 True, route=calculation) — 답변 내용 스팟체크, 원문 미대조"
삼성전자(IT/반도체),비교연산_Open,최근 자금조달 내역(유형별),PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
삼성SDI(2차전지),비교연산_Open,당기 대비 전기 영업이익 변화,PASS,"자동신호 통과(grounded/citation 모두 True, route=calculation) — 답변 내용 스팟체크, 원문 미대조"
LG에너지솔루션(2차전지),비교연산_Open,최근 자금조달 내역(유형별),PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
한미반도체(반도체),비교연산_Open,당기 대비 전기 영업이익 변화,PASS,"자동신호 통과(grounded/citation 모두 True, route=calculation) — 답변 내용 스팟체크, 원문 미대조"
KB금융(금융),비교연산_Open,최근 자금조달 내역(유형별),PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
알테오젠(바이오),비교연산_Open,당기 대비 전기 영업이익 변화,PASS(검증오탐 의심),"원문 대조 완료: 당기 41,029,532,343원 / 전기 114,531,644,175원 둘 다 periodic_20260515001517 원문과 정확히 일치, 차이 73,502,111,832원도 수학적으로 정확(114531644175-41029532343=73502111832). 그런데도 ungrounded로 잡힘 — validator._verify_derived_number()의 O(n^2) 안전장치(_MAX_VERIFY_NUMBERS=200)가 evidence 숫자가 많은 재무제표 청크에서 검산 자체를 건너뛰게 만들었을 가능성이 높음(확정은 못함, 미수정 — §12 후보로 기록)"
HD현대중공업(조선),비교연산_Open,최근 자금조달 내역(유형별),PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
현대자동차(자동차),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
현대건설(건설),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
SK텔레콤(통신),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
기아(자동차),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
SK하이닉스(반도체),복합추론_Closed,계약 해지/정정 여부,PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
NAVER(IT/플랫폼),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
카카오(IT/플랫폼),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
신한지주(금융),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
