query_id,query,gold,retrieved_top5,hit@1,hit@3,rr,ndcg@5,latency_sec
18,삼성전자 사업보고서와 분기보고서 실적 비교해줘,periodic_20260310002820|periodic_20260515002181,periodic_20260515002181|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|periodic_20260515002181,1.0,1.0,1.0,0.92,11.2553
19,삼성전자 삼성물산 보유주식 변동 추이 알려줘,holding_20250905000524|holding_20250919000589|holding_20251017000512|holding_20251024000542|holding_20251031000575|holding_20251107000558|holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,holding_20251017000512|holding_20250905000524|holding_20250919000589|holding_20251107000558|holding_20251017000512,1.0,1.0,1.0,0.869,9.3304
21,삼성전자 반도체 위탁생산 계약금액이 최근매출액 대비 몇 %야?,exchange_20250731800028,exchange_20250728800035|exchange_20250731800028|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820,0.0,1.0,0.5,0.631,11.1495
22,삼성전자 영업이익률 계산해줘,periodic_20260310002820|periodic_20260515002181,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,0.613,11.1813
23,삼성전자 부채비율 계산해줘,periodic_20260310002820,periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,1.0,1.0,1.0,1.0,11.1603
25,삼성전자 최대주주가 누구야?,periodic_20260310002820,periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260515002181|holding_20251031000575,1.0,1.0,1.0,1.0,11.2337
26,삼성전자 삼성물산 보유지분율 알려줘,holding_20260130000730,periodic_20260310002820|holding_20251107000558|holding_20260109000680|holding_20250919000589|holding_20260130000730,0.0,0.0,0.2,0.387,11.2291
27,삼성전자 최근 대량보유상황보고서 내용 알려줘,holding_20260130000730,holding_20260116000451|holding_20260130000730|holding_20260123000544|holding_20260109000680|holding_20250905000524,0.0,1.0,0.5,0.631,8.7418
29,삼성전자 지분 보고자 특별관계자 현황 알려줘,holding_20250905000524|holding_20250919000589|holding_20251017000512|holding_20251024000542|holding_20251031000575|holding_20251107000558|holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,holding_20251031000575|holding_20251024000542|holding_20260109000680|holding_20250919000589|holding_20250905000524,1.0,1.0,1.0,1.0,11.2121
30,삼성전자 2025년 9월 지분보고 내용 알려줘,holding_20250905000524,periodic_20260310002820|periodic_20260515002181|periodic_20260310002820|periodic_20260310002820|periodic_20260310002820,0.0,0.0,0.0,0.0,11.2352
31,삼성전자 2026년 1월 지분 변동 내역 알려줘,holding_20260109000680|holding_20260116000451|holding_20260123000544|holding_20260130000730,holding_20260109000680|holding_20260130000730|holding_20260123000544|holding_20260116000451|periodic_20260515002181,1.0,1.0,1.0,1.0,11.1633
33,삼성전자 최근 자기주식 취득 결정했어?,major_20260107000715|major_20260129000003|major_20260318001062,major_20250218000019|major_20250708000011|major_20241115000375|major_20260129000003|major_20260318001062,0.0,0.0,0.25,0.384,11.2065
34,삼성전자 최근 자기주식 처분 결정했어?,major_20260126000001|major_20260129000004|major_20260318001203,major_20250523000601|major_20260318001203|major_20251030000502|major_20260129000004|major_20260129000004,0.0,1.0,0.5,0.498,10.6052
35,삼성전자 해외 상장 관련 이벤트 있었어?,major_20241031000508|major_20241031000536|major_20250213001808|major_20250213001817,major_20241031000536|major_20250213001817|major_20250213001808|major_20241031000508|periodic_20260310002820,1.0,1.0,1.0,1.0,11.2217
37,삼성전자 최근 대규모 계약 체결 있었어?,exchange_20250728800035|exchange_20250731800028,exchange_20250728800035|exchange_20250731800028|periodic_20260310002820|periodic_20260515002181|periodic_20260310002820,1.0,1.0,1.0,1.0,10.857
38,삼성전자 2026년 3월 자기주식 관련 결정 내용 알려줘,major_20260318001062|major_20260318001203,major_20260318001062|major_20260318001203|major_20260318001203|major_20260318001203|major_20260318001203,1.0,1.0,1.0,1.0,11.3083
39,삼성전자 2025년 5월 자기주식처분 결정 내용 알려줘,major_20250523000601,major_20250523000601|major_20260129000004|major_20250725000794|major_20250523000601|major_20251030000502,1.0,1.0,1.0,1.0,11.3426
